Gioco del Lotto Archivio estrazioni e statistiche (2020)
DATE	Bari					Cagliari					Firenze					Genova					Milano					Napoli					Palermo					Roma					Torino					Venezia					Nazionale
2020-07-21	86	33	47	58	83	88	60	27	34	54	72	68	50	73	56	85	03	02	20	52	68	37	59	29	73	73	48	02	63	08	73	61	52	33	25	17	57	28	24	89	48	69	23	89	04	19	32	35	29	20	74	45	85	06	07
2020-07-18	45	48	09	11	02	23	85	29	05	34	60	34	84	66	70	42	44	04	62	32	32	41	31	16	23	02	73	34	29	90	30	13	38	82	66	12	16	19	72	13	63	90	45	21	64	45	50	80	43	55	13	81	66	47	25
2020-07-16	12	59	20	60	27	86	66	90	44	10	18	35	47	66	02	28	79	64	63	26	59	80	39	64	38	18	82	86	89	44	15	81	30	40	51	54	43	08	26	28	50	66	24	60	04	29	18	30	89	15	75	43	50	83	42
2020-07-14	24	40	10	08	36	77	42	15	74	81	78	86	18	25	10	26	01	56	51	49	49	79	60	23	72	49	84	88	48	85	26	11	81	87	34	43	69	35	21	47	37	09	85	06	05	76	47	54	12	65	23	60	02	17	43
2020-07-11	61	70	43	74	79	35	90	63	30	10	59	60	70	24	11	01	57	53	63	10	77	40	13	58	83	02	40	88	61	90	02	80	03	87	63	27	14	76	66	72	50	90	07	23	89	38	60	29	89	31	02	26	63	77	48
2020-07-09	14	87	01	29	50	09	81	57	28	36	26	46	59	33	17	06	02	77	17	71	22	07	21	76	19	07	03	69	17	54	52	08	42	26	12	68	09	47	69	26	73	53	13	54	04	90	74	87	45	88	79	12	62	72	56
2020-07-07	78	54	63	51	49	70	03	20	57	60	65	32	57	81	52	43	66	36	76	01	50	22	54	86	85	88	44	31	06	08	82	04	88	31	59	07	70	90	83	86	71	15	08	73	27	82	62	87	73	59	16	76	18	75	42
2020-07-04	87	44	78	34	62	54	86	73	43	03	40	01	34	67	50	41	11	84	14	80	30	81	59	43	42	61	21	32	34	31	53	70	47	69	79	72	50	58	35	10	35	67	02	77	01	70	38	77	67	27	29	74	45	86	61
2020-07-02	73	64	20	32	57	34	78	85	12	32	13	02	73	09	36	10	33	67	28	56	33	05	40	81	35	59	09	63	70	18	67	72	09	65	47	11	63	59	49	83	64	67	63	02	84	64	19	08	65	12	32	55	40	64	84
2020-06-30	24	74	68	69	45	74	32	58	01	84	50	63	60	11	69	86	82	34	68	29	20	63	71	75	11	17	27	76	15	57	37	61	25	68	10	85	61	54	07	43	51	53	01	44	41	77	22	85	32	69	13	75	44	72	10
